D;S;E;I;Cod
 calidad de la vida en el vecindario;Confianza en vecinos;En términos generales, ¿cuánto confía usted en sus vecinos?;;t01
 calidad de la vida en el vecindario;Cohesión barrial;A continuación voy a leer algunas afirmaciones acerca de su barrio ¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;Este es el barrio ideal para mí;t02_01
 calidad de la vida en el vecindario;Cohesión barrial;A continuación voy a leer algunas afirmaciones acerca de su barrio ¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;Me siento integrado/a en este barrio;t02_02
 calidad de la vida en el vecindario;Cohesión barrial;A continuación voy a leer algunas afirmaciones acerca de su barrio ¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;Me identifico con la gente de este barrio;t02_03
 calidad de la vida en el vecindario;Cohesión barrial;A continuación voy a leer algunas afirmaciones acerca de su barrio ¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;Este barrio es parte de mí;t02_04
 calidad de la vida en el vecindario;Sociabilidad barrial;Respecto de las relaciones sociales que se establecen entre los vecinos de este barrio, ¿cuán de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;En este barrio es fácil hacer amigos;t03_01
 calidad de la vida en el vecindario;Sociabilidad barrial;Respecto de las relaciones sociales que se establecen entre los vecinos de este barrio, ¿cuán de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;La gente en este barrio es sociable;t03_02
 calidad de la vida en el vecindario;Sociabilidad barrial;Respecto de las relaciones sociales que se establecen entre los vecinos de este barrio, ¿cuán de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;La gente en este barrio es cordial;t03_03
 calidad de la vida en el vecindario;Sociabilidad barrial;Respecto de las relaciones sociales que se establecen entre los vecinos de este barrio, ¿cuán de acuerdo o en desacuerdo está usted con las siguientes afirmaciones?;La gente en este barrio es colaboradora;t03_04
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Seguridad del barrio;t06_01
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Conectividad;t06_02
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Áreas verdes y recreación disponible;t06_03
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Limpieza y belleza del barrio;t06_04
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Proximidad al lugar donde realiza su principal actividad;t06_05
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Proximidad a colegios, escuelas o liceos de buena calidad;t06_06
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Proximidad a áreas de comercio (supermercado, tiendas, mall o similares);t06_07
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Proximidad con familiares y/o amigos cercanos;t06_08
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Tamaño de la vivienda;t07_01
 calidad de la vida en el vecindario;Satisfacción residencial;“Utilizando la siguiente escala, ¿cuán satisfecho o insatisfecho está usted con el BARRIO dónde reside en cuanto a…?”;Calidad de la vivienda;t07_02
